folder	file_name	genus	species	data_source	country	specimen_id	mask_percent	class_1	conf_1	class_2	conf_2	class_3	conf_3	class_4	conf_4	class_5	conf_5
2019 November	DSC_0801.JPG	Hoplias	malabaricus	field	Peru	KACV2-05	20.31707763671875	Erythrinus	59.33	Prochilodus	40.65	Sorubim	0.01	Oxyropsis	0.01	Pimelodella	0.0
2019 November	DSC_0800.JPG	Hoplias	malabaricus	field	Peru	KACV2-05	20.81451416015625	Prochilodus	49.98	Erythrinus	49.25	Bunocephalus	0.4	Ancistrus	0.1	Charax	0.08
2019 November	DSC_0802.JPG	Hoplias	malabaricus	field	Peru	KACV2-06	13.41552734375	Erythrinus	94.26	Prochilodus	3.26	Oxyropsis	1.29	Bujurquina	0.59	Sorubim	0.3
2019 November	DSC_0803.JPG	Hoplias	malabaricus	field	Peru	KACV2-06	13.85345458984375	Erythrinus	68.25	Prochilodus	26.96	Bujurquina	2.19	Oxyropsis	1.48	Bryconops	0.37
2019 November	DSC_0860.JPG	Moenkhausia	sp. 1	field	Peru	T1-CV2QKANT-01	15.00701904296875	Moenkhausia	100.0	Ancistrus	0.0	Hemigrammus	0.0	Tetragonopterus	0.0	Tatia	0.0
2019 November	DSC_0861.JPG	Moenkhausia	sp. 1	field	Peru	T1-CV2QKANT-01	14.959716796875	Moenkhausia	99.99	Ancistrus	0.0	Hemigrammus	0.0	Tetragonopterus	0.0	Tatia	0.0
2019 November	DSC_0863.JPG	Pyrrhulina	cf. eleanorae	field	Peru	T1-CV2QKANT-02	5.0018310546875	Pyrrhulina	99.9	Erythrinus	0.04	Prochilodus	0.01	Apistogramma	0.01	Characidium	0.01
2019 November	DSC_0862.JPG	Pyrrhulina	cf. eleanorae	field	Peru	T1-CV2QKANT-02	5.46112060546875	Pyrrhulina	99.98	Knodus	0.02	Ancistrus	0.0	Hemigrammus	0.0	Tetragonopterus	0.0
2019 November	DSC_0864.JPG	Pyrrhulina	cf. eleanorae	field	Peru	T1-CV2QKANT-03	7.0892333984375	Pyrrhulina	99.98	Erythrinus	0.01	Ancistrus	0.0	Pimelodella	0.0	Knodus	0.0
2019 November	DSC_0865.JPG	Pyrrhulina	cf. eleanorae	field	Peru	T1-CV2QKANT-03	5.9234619140625	Pyrrhulina	99.99	Erythrinus	0.01	Ancistrus	0.0	Pimelodella	0.0	Knodus	0.0
2019 November	DSC_0866.JPG	Hemigrammus	sp. 2	field	Peru	T1-CV2QKANT-04	5.78155517578125	Hemigrammus	99.92	Moenkhausia	0.05	Knodus	0.01	Ancistrus	0.0	Tetragonopterus	0.0
2019 November	DSC_0867.JPG	Hemigrammus	sp. 2	field	Peru	T1-CV2QKANT-04	5.615234375	Hemigrammus	99.96	Moenkhausia	0.01	Knodus	0.01	Ancistrus	0.0	Tetragonopterus	0.0
2019 November	DSC_0868.JPG	Hemigrammus	sp. 2	field	Peru	T1-CV2QKANT-05	4.644775390625	Hemigrammus	98.69	Moenkhausia	0.8	Knodus	0.23	Creagrutus	0.09	Astyanax	0.04
2019 November	DSC_0869.JPG	Hemigrammus	sp. 2	field	Peru	T1-CV2QKANT-05	4.31365966796875	Hemigrammus	99.92	Knodus	0.03	Moenkhausia	0.02	Curimata	0.01	Ancistrus	0.0
