family,genus,specificEpithet,country,catalogNumber,IndivID,Camera,photoID,id
Pimelodidae,Calophysus,macropterus,Brazil,247231,3,Coolpix B500,DSCN0248.JPG,
Pimelodidae,Calophysus,macropterus,Brazil,247231,3,Coolpix B500,DSCN0249.JPG,
Pimelodidae,Calophysus,macropterus,Brazil,247231,3,Coolpix B500,DSCN0250.JPG,
Pimelodidae,Calophysus,macropterus,Brazil,247231,3,Coolpix B500,DSCN0251.JPG,
Pimelodidae,Calophysus,macropterus,Brazil,247231,3,Coolpix B500,DSCN0252.JPG,
Pimelodidae,Calophysus,macropterus,Venezuela,233859,1,Coolpix B500,DSCN0253.JPG,
Pimelodidae,Calophysus,macropterus,Venezuela,233859,1,Coolpix B500,DSCN0254.JPG,
Pimelodidae,Calophysus,macropterus,Venezuela,233859,1,Coolpix B500,DSCN0255.JPG,
Pimelodidae,Calophysus,macropterus,Venezuela,233859,1,Coolpix B500,DSCN0256.JPG,
Pimelodidae,Calophysus,macropterus,Venezuela,233859,1,Coolpix B500,DSCN0257.JPG,
Pimelodidae,Calophysus,macropterus,Venezuela,233859,1,Coolpix B500,DSCN0258.JPG,
Pimelodidae,Calophysus,macropterus,Brazil,247232,1,Coolpix B500,DSCN0259.JPG,
Pimelodidae,Calophysus,macropterus,Brazil,247232,1,Coolpix B500,DSCN0260.JPG,
Pimelodidae,Calophysus,macropterus,Brazil,247232,1,Coolpix B500,DSCN0261.JPG,
Pimelodidae,Calophysus,macropterus,Brazil,247232,1,Coolpix B500,DSCN0262.JPG,
Pimelodidae,Calophysus,macropterus,Brazil,247232,1,Coolpix B500,DSCN0263.JPG,
Pimelodidae,Calophysus,macropterus,Brazil,247232,1,Coolpix B500,DSCN0264.JPG,
Pimelodidae,Calophysus,macropterus,Brazil,376340,1,Coolpix B500,DSCN0265.JPG,
Pimelodidae,Calophysus,macropterus,Brazil,376340,1,Coolpix B500,DSCN0266.JPG,
Pimelodidae,Calophysus,macropterus,Brazil,376340,1,Coolpix B500,DSCN0267.JPG,
Pimelodidae,Calophysus,macropterus,Brazil,376340,1,Coolpix B500,DSCN0268.JPG,
Pimelodidae,Calophysus,macropterus,Brazil,376340,2,Coolpix B500,DSCN0269.JPG,
Pimelodidae,Calophysus,macropterus,Brazil,376340,2,Coolpix B500,DSCN0270.JPG,
Pimelodidae,Calophysus,macropterus,Brazil,376340,2,Coolpix B500,DSCN0271.JPG,
