ID 1,ID 2,Codigo foto 2,Genero
DSC_0864,DSC_0865,,Pyrrhulina
DSC_0866,DSC_0867,,Hemigrammus
DSC_0868,DSC_0869,,Hemigrammus
DSC_0870,DSC_0871,,Hemigrammus
DSC_0872,DSC_0873,,Moenkhausia
DSC_0874,DSC_0875,,Moenkhausia
DSC_0876,DSC_0877,,Moenkhausia
DSC_0878,DSC_0879,,Apistogramma
DSC_0880,DSC_0881,,Chrysobrycon
DSC_0882,DSC_0883,,Corydoras
DSC_0884,DSC_0885,,Knodus
DSC_0886,DSC_0887,,Apistogramma
DSC_0888,DSC_0889,,Hemigrammus
DSC_0890,DSC_0891,,Hemigrammus
DSC_0892,DSC_0893,,Hemigrammus
DSC_0894,DSC_0895,,Hemigrammus
DSC_0896,DSC_0897,,Hemigrammus
DSC_0898,DSC_0899,,Hemigrammus
DSC_0900,DSC_0901,,Hemigrammus
DSC_0902,DSC_0903,,Hemigrammus
DSC_0904,DSC_0905,,Bryconamericus
DSC_0906,DSC_0907,,Hemigrammus
DSC_0908,DSC_0909,,Pyrrhulina
DSC_0910,DSC_0911,,Hemigrammus
DSC_0912,DSC_0913,,Hemigrammus
DSC_0914,DSC_0915,,Ancistrus
DSC_0916,DSC_0917,,Hemigrammus
DSC_0918,DSC_0919,,Hemigrammus
DSC_0920,DSC_0921,,Synbranchus
DSC_0922,DSC_0923,,Apistogramma
DSC_0924,DSC_0925,,Knodus
DSC_0926,DSC_0927,,Hemigrammus
DSC_0928,DSC_0929,,Hemigrammus
DSC_0930,DSC_0931,,Bujurquina
DSC_0932,DSC_0933,,Pyrrhulina
DSC_0934,DSC_0935,,Knodus
DSC_0936,DSC_0937,,Apistogramma
DSC_0938,DSC_0939,,Rineloricaria
DSC_0940,DSC_0941,,Knodus
DSC_0942,DSC_0943,,Knodus
DSC_0944,DSC_0945,,Hemigrammus
DSC_0946,DSC_0947,,Bujurquina
DSC_0948,DSC_0949,,Hemigrammus
DSC_0950,DSC_0951,,Moenkhausia
DSC_0952,DSC_0953,,Moenkhausia
DSC_0954,DSC_0955,,Moenkhausia
DSC_0956,DSC_0957,,Moenkhausia
DSC_0958,DSC_0959,,Moenkhausia
DSC_0960,DSC_0961,,Moenkhausia
DSC_0962,DSC_0963,,Moenkhausia
DSC_0964,DSC_0965,,Moenkhausia
DSC_0966,,,Moenkhausia
DSC_0967,DSC_0968,,Moenkhausia
DSC_0969,DSC_0970,,Moenkhausia
DSC_0971,DSC_0972,,Corydoras
DSC_0973,DSC_0974,,Apistogramma
DSC_0975,DSC_0976,,Hemigrammus
DSC_0977,DSC_0978,,Hemigrammus
DSC_0979,DSC_0980,,Hemigrammus
DSC_0981,DSC_0982,,Pyrrhulina
DSC_0983,DSC_0984,,Apistogramma
DSC_0985,DSC_0986,,Hemigrammus
DSC_0987,DSC_0988,,Hemigrammus
DSC_0989,DSC_0990,,Moenkhausia
DSC_0991,DSC_0992,,Hemigrammus
DSC_0993,DSC_0994,,Moenkhausia
DSC_0995,DSC_0996,,Characidium
DSC_0997,DSC_0998,,Moenkhausia
DSC_0999,DSC_1000,,Pyrrhulina
DSC_1001,DSC_1002,,Moenkhausia
DSC_1003,DSC_1004,,Moenkhausia
DSC_1005,DSC_1006,,Moenkhausia
DSC_1007,DSC_1008,,Pyrrhulina
DSC_1009,DSC_1010,,Hemigrammus
DSC_1011,DSC_1012,,Hemigrammus
DSC_1013,DSC_1014,,Apistogramma
DSC_1015,DSC_1016,,Hemigrammus
DSC_1017,DSC_1018,,Hemigrammus
DSC_1019,DSC_1020,,Hyphessobrycon
DSC_1021,DSC_1022,,Knodus
DSC_1023,DSC_1024,,Hemigrammus
DSC_1025,DSC_1026,,Hemigrammus
DSC_1027,DSC_1028,,Copeina
DSC_1029,DSC_1030,,Erythrinus
DSC_1031,DSC_1032,,Bario
DSC_1033,DSC_1034,,Moenkhausia
DSC_1035,DSC_1036,,Moenkhausia
DSC_1037,DSC_1038,,Moenkhausia
DSC_1039,DSC_1040,,Moenkhausia
DSC_1041,DSC_1042,,Moenkhausia
DSC_1043,DSC_1044,,Moenkhausia
DSC_1045,DSC_1046,,Moenkhausia
DSC_1047,DSC_1048,,Moenkhausia
DSC_1049,DSC_1050,,Moenkhausia
DSC_1051,DSC_1052,,Moenkhausia
DSC_1053,DSC_1054,,Pyrrhulina
DSC_1055,DSC_1056,,Hemigrammus
DSC_1057,DSC_1058,,Hemigrammus
DSC_1059,DSC_1060,,Bario
DSC_1061,DSC_1062,,Bario
DSC_1063,DSC_1064,,Moenkhausia
DSC_1065,DSC_1066,,Moenkhausia
DSC_1067,DSC_1068,,Gasteropelecus
DSC_1069,DSC_1070,,Apistogramma
DSC_1071,DSC_1072,,Hyphessobrycon
DSC_1073,DSC_1074,,Hemigrammus
DSC_1075,DSC_1076,,Moenkhausia
DSC_1077,DSC_1078,,Bujurquina
DSC_1079,DSC_1080,,Pyrrhulina
DSC_1081,DSC_1082,,Moenkhausia
DSC_1097,DSC_1098,,Steindachnerina
DSC_1099,DSC_1100,,Crenicichla
DSC_1101,DSC_1102,,Steindachnerina
DSC_1103,DSC_1104,,Corydoras
DSC_1105,DSC_1106,,Creagrutus
DSC_1107,DSC_1108,,Steindachnerina
DSC_1109,DSC_1110,,Corydoras
DSC_1111,DSC_1112,,Corydoras
DSC_1113,DSC_1114,,Corydoras
DSC_1115,DSC_1116,,Bryconops
DSC_1117,DSC_1118,,Characidium
DSC_1119,DSC_1120,,Steindachnerina
DSC_1121,DSC_1122,,Ochmacanthus
DSC_1123,DSC_1124,,Ochmacanthus
DSC_1125,DSC_1126,,Ochmacanthus
DSC_1127,DSC_1128,,Thalassophryne
DSC_1129,DSC_1130,,Otocinclus
DSC_1131,DSC_1132,,Otocinclus
DSC_1133,DSC_1134,,Otocinclus
DSC_1135,DSC_1136,,Otocinclus
DSC_1137,DSC_1138,,Microschemobrycon
DSC_1139,DSC_1140,,Rineloricaria
DSC_1141,DSC_1142,,Rineloricaria
DSC_1143,DSC_1144,,Limatulichtys
DSC_1145,DSC_1146,,Otocinclus
DSC_1147,DSC_1148,,Otocinclus
DSC_1149,DSC_1150,,Otocinclus
DSC_1151,DSC_1152,,Ochmacanthus
DSC_1153,DSC_1154,,Corydoras
DSC_1155,DSC_1156,,Limatulichtys
DSC_1157,DSC_1158,,Otocinclus
DSC_1159,DSC_1160,,Otocinclus
DSC_1161,DSC_1162,,Otocinclus
DSC_1163,DSC_1164,,Otocinclus
DSC_1165,DSC_1166,,Otocinclus
DSC_1167,DSC_1168,,Otocinclus
DSC_1169,DSC_1170,,Otocinclus
DSC_1171,DSC_1172,,Otocinclus
DSC_1173,DSC_1174,,Otocinclus
DSC_1175,DSC_1176,,Otocinclus
DSC_1177,DSC_1178,,Ochmacanthus
DSC_1179,DSC_1180,,Limatulichtys
DSC_1181,DSC_1182,,Otocinclus
DSC_1183,DSC_1184,,Corydoras
DSC_1197,DSC_1198,,Bujurquina
DSC_1199,DSC_1200,,Pimelodella
DSC_1201,DSC_1202,,Pimelodella
DSC_1203,DSC_1204,,Pimelodella
